,question,answer,multiple_answer,can_answer
9272,July is followed by?,August,False,True
9273,July follows?,June,False,False
9274,The country of July Revolution is?,France,False,False
9275,The country of citizenship of Jun Maeda is?,Japan,False,True
9276,The native language of Jun Maeda is?,Japanese,False,True
9277,The country of citizenship of Jun'ichirō Tanizaki is?,Japan,False,True
9278,The native language of Jun'ichirō Tanizaki is?,Japanese,False,True
9279,The country of Junagadh is?,India,False,True
9280,June is followed by?,July,False,True
9281,June follows?,May,False,False
9282,Juneau is capital of?,Alaska,False,True
9283,The country of citizenship of Junichiro Koizumi is?,Japan,False,True
9284,The religion of Junius Richard Jayewardene is?,Buddhism,False,False
9285,The country of citizenship of Junji Kinoshita is?,Japan,False,True
9286,The native language of Junji Kinoshita is?,Japanese,False,True
9287,The country of citizenship of Junko Tabei is?,Japan,False,True
9288,The country of citizenship of Junpei Gomikawa is?,Japan,False,True
9289,Jurassic is followed by?,Cretaceous,False,True
9290,The country of citizenship of Jusepe de Ribera is?,Spain,False,True
9291,The country of citizenship of Jussi Björling is?,Sweden,False,True
9292,The country for sport played by Just Fontaine is?,France,False,True
9293,The country of citizenship of Just Fontaine is?,France,False,True
9294,The country of citizenship of Justin Bieber is?,Canada,False,True
9295,The instrument of Justin Bieber is?,"['guitar', 'piano']",True,
9296,The team position of Justin Duchscherer is?,pitcher,False,True
9297,The instrument of Justin Guarini is?,guitar,False,False
9298,The country of citizenship of Justin Morneau is?,Canada,False,True
9299,The instrument of Justin Timberlake is?,"['guitar', 'piano']",True,
9300,The country of citizenship of Justin Trudeau is?,Canada,False,True
9301,The eye color of Justin Trudeau is?,blue,False,False
9302,The native language of Justin Trudeau is?,French,False,True
9303,The country for sport played by Justine Henin is?,Belgium,False,True
9304,The country of citizenship of Justine Henin is?,Belgium,False,True
9305,The religion of Justinian I is?,Christianity,False,True
9306,The country of citizenship of Justus von Liebig is?,Germany,False,True
9307,The country of Jutland is?,Denmark,False,True
9308,Jutland is located in?,Denmark,False,True
9309,The country of Juventus FC is?,Italy,False,True
9310,The headquarters location of Juventus FC is?,Turin,False,True
9311,The official color of Juventus FC is?,white,False,True
9312,The country of citizenship of János Kádár is?,Hungary,False,True
9313,The ethnic group of János Kádár is?,Hungarians,False,False
9314,The country of Jász-Nagykun-Szolnok County is?,Hungary,False,True
9315,Jász-Nagykun-Szolnok County is located in?,Hungary,False,True
9316,The country of citizenship of Józef Cyrankiewicz is?,Poland,False,True
9317,The country of citizenship of Józef Piłsudski is?,Poland,False,True
9318,The ethnic group of Józef Piłsudski is?,Poles,False,False
9319,The native language of Józef Piłsudski is?,Polish,False,True
9320,The country of citizenship of József Katona is?,Hungary,False,True
9321,The country of citizenship of Jô Soares is?,Brazil,False,True
9322,The country of citizenship of Jöns Jacob Berzelius is?,Sweden,False,True
9323,The country of citizenship of Jørn Utzon is?,Denmark,False,True
9324,The country for sport played by Jürgen Schult is?,Germany,False,True
9325,The country of citizenship of Jürgen Schult is?,Germany,False,True
9326,The country of citizenship of K. R. Narayanan is?,India,False,True
9327,The native language of K. R. Narayanan is?,Malayalam,False,True
9328,The religion of K. R. Narayanan is?,Hinduism,False,True
9329,The original country of KVN is?,Russia,False,True
9330,Kabardino-Balkaria is located in?,Russia,False,True
9331,The office held by head of government of Kabardino-Balkaria is?,president,False,False
9332,The official language of Kabardino-Balkaria is?,Russian,False,True
9333,The country of citizenship of Kabir is?,India,False,True
9334,The religion of Kabir is?,Hinduism,False,True
9335,Kabul is capital of?,Afghanistan,False,True
9336,The country of Kabul is?,Afghanistan,False,True
9337,The country of Kabul River is?,"['Afghanistan', 'Pakistan']",True,
9338,The instrument of Kacey Musgraves is?,guitar,False,True
9339,The country of Kadamba Dynasty is?,India,False,True
9340,The religion of Kadamba Dynasty is?,Hinduism,False,True
9341,The language of Kadambari is?,Sanskrit,False,True
9342,The country of Kaduna State is?,Nigeria,False,True
9343,Kaduna State is located in?,Nigeria,False,True
9344,The genre of Kafka on the Shore is?,novel,False,False
9345,The country of Kafr el-Sheikh Governorate is?,Egypt,False,True
9346,Kafr el-Sheikh Governorate is located in?,Egypt,False,True
9347,The country of Kagawa Prefecture is?,Japan,False,True
9348,The continent of Kagera River is?,Africa,False,True
9349,The country of Kagoshima is?,Japan,False,True
9350,The country of Kagoshima Prefecture is?,Japan,False,True
9351,The country of citizenship of Kahlil Gibran is?,Lebanon,False,True
9352,The country of citizenship of Kai Siegbahn is?,Sweden,False,True
9353,The eye color of Kaia Gerber is?,brown,False,False
9354,The country of citizenship of Kaija Saariaho is?,Finland,False,True
9355,The country of citizenship of Kailash Satyarthi is?,India,False,True
9356,The religion of Kailash Satyarthi is?,Hinduism,False,True
9357,The native language of Kaitlyn Dever is?,English,False,True
9358,The native language of Kaitlyn Maher is?,English,False,True
9359,The religion of Kajol is?,Hinduism,False,True
9360,The country of citizenship of Kakinomoto no Hitomaro is?,Japan,False,True
9361,The religion of Kal Penn is?,Hinduism,False,True
9362,The continent of Kalahari Desert is?,Africa,False,True
9363,The language of Kalevala is?,Finnish,False,True
9364,The eye color of Kaley Cuoco is?,green,False,False
9365,The native language of Kaley Cuoco is?,English,False,True
9366,The country of Kalimantan is?,Indonesia,False,True
9367,The language used in Kalimantan is?,Javanese,False,False
9368,Kalimantan is located in?,Indonesia,False,True
9369,The country of Kaliningrad is?,Russia,False,True
9370,The country of Kaliningrad Oblast is?,Russia,False,True
9371,Kaliningrad Oblast is located in?,Russia,False,True
9372,The language of Kama Sutra is?,Sanskrit,False,True
9373,The country of Kamakura shogunate is?,Japan,False,True
9374,The country of citizenship of Kamal Haasan is?,India,False,True
9375,The country of citizenship of Kamal Hossain is?,"['Bangladesh', 'Pakistan']",True,
9376,The native language of Kamal Hossain is?,Bengali,False,True
9377,The country of Kamarhati is?,India,False,True
9378,The country of Kamchatka Peninsula is?,Russia,False,True
9379,The country of citizenship of Kamel Daoud is?,Algeria,False,True
9380,The country of citizenship of Kamini Kaushal is?,India,False,True
9381,Kampala is capital of?,Uganda,False,True
9382,The country of Kampala is?,Uganda,False,True
9383,The country of citizenship of Kamāl ud-Dīn Behzād is?,Iran,False,True
9384,The capital of Kanagawa Prefecture is?,Yokohama,False,True
9385,The country of Kanagawa Prefecture is?,Japan,False,True
9386,Kanagawa Prefecture is located in?,Japan,False,True
9387,Kanagawa Prefecture shares a border with?,Tokyo,False,True
9388,The country of citizenship of Kanayo O. Kanayo is?,Nigeria,False,True
9389,The country of Kanazawa is?,Japan,False,True
9390,The material used in Kanchenjunga is?,limestone,False,False
9391,The country of Kanchipuram is?,India,False,True
9392,The country of Kandahar is?,Afghanistan,False,True
9393,The blood type of Kane Kosugi is?,A,False,False
9394,The country of citizenship of Kane Waselenchuk is?,Canada,False,True
9395,The continent of Kanem-Bornu Empire is?,Africa,False,True
9396,The country of citizenship of Kangxi Emperor is?,China,False,True
9397,The ethnic group of Kangxi Emperor is?,Manchu,False,True
9398,The religion of Kanhoji Angre is?,Hinduism,False,True
9399,The religion of Kanishka is?,Buddhism,False,True
9400,The country of Kannada is?,India,False,True
9401,Kannada is indigenous to?,"['Kerala', 'Maharashtra']",True,
9402,The country of Kano State is?,Nigeria,False,True
9403,Kano State is located in?,Nigeria,False,True
9404,The country of Kanpur is?,India,False,True
9405,The country of Kansai region is?,Japan,False,True
9406,Kansai region is located in?,Japan,False,True
9407,The official language of Kansas is?,English,False,True
9408,Kansas shares a border with?,"['Nebraska', 'Missouri', 'Oklahoma']",True,
9409,Kansas City is located in?,Missouri,False,False
9410,The country of Kantō region is?,Japan,False,True
9411,The instrument of Kany García is?,guitar,False,True
9412,The native language of Kanye West is?,English,False,True
9413,The country of citizenship of Kanō Eitoku is?,Japan,False,True
9414,The country of citizenship of Kanō Masanobu is?,Japan,False,True
9415,The country of Kaohsiung is?,Taiwan,False,True
9416,Kaohsiung is located in?,Taiwan,False,True
9417,The material used in Kapellbrücke is?,wood,False,True
9418,The country for sport played by Kapil Dev is?,India,False,True
9419,The country of citizenship of Kapil Dev is?,India,False,True
9420,The religion of Kapil Dev is?,Hinduism,False,True
9421,The sport played by Kapil Dev is?,cricket,False,True
9422,The official language of Kara Koyunlu tribe is?,Persian,False,False
9423,The continent of Kara-Khanid Khanate is?,Asia,False,True
9424,The official language of Kara-Khanid Khanate is?,Persian,False,False
9425,Karachay-Cherkess Republic is located in?,Russia,False,True
9426,The official language of Karachay-Cherkess Republic is?,Russian,False,True
9427,The country of Karachi is?,Pakistan,False,True
9428,Karachi is located in?,Sindh,False,False
9429,The official language of Karachi is?,Urdu,False,True
9430,The official language of Karaj is?,Persian,False,True
9431,The office held by head of government of Karakalpakstan is?,president,False,False
9432,Karakum Desert is located in?,Turkmenistan,False,True
9433,The country of citizenship of Karan Mehra is?,India,False,True
9434,The religion of Kareem Abdul-Jabbar is?,Islam,False,True
9435,The sport played by Kareem Abdul-Jabbar is?,basketball,False,True
9436,The country of citizenship of Kareena Kapoor is?,India,False,True
9437,The religion of Kareena Kapoor is?,Hinduism,False,True
9438,The instrument of Karel Gott is?,guitar,False,True
9439,The native language of Karel Gott is?,Czech,False,True
9440,The voice type of Karel Gott is?,tenor,False,True
9441,The native language of Karel Čapek is?,Czech,False,True
9442,The official language of Karelia is?,Russian,False,True
9443,The country of Karelians is?,Finland,False,False
9444,The country of citizenship of Karen Blixen is?,Denmark,False,True
9445,The noble title of Karikala Chola is?,King,False,True
9446,The country of citizenship of Karim Khan is?,Iran,False,False
9447,The country of citizenship of Karina Lombard is?,France,False,False
9448,The country of citizenship of Karisma Kapoor is?,India,False,True
9449,The religion of Karisma Kapoor is?,Hinduism,False,True
9450,The country of citizenship of Karl Adolph Gjellerup is?,Denmark,False,True
9451,The country of citizenship of Karl Albrecht is?,Germany,False,True
9452,The country of citizenship of Karl Alexander Müller is?,Switzerland,False,True
9453,The country of citizenship of Karl Benz is?,Germany,False,True
9454,The country of citizenship of Karl Böhm is?,"['Austria', 'Germany']",True,
9455,The country of citizenship of Karl Dane is?,Denmark,False,True
9456,The country of citizenship of Karl Drais is?,Germany,False,True
9457,The country of citizenship of Karl Dönitz is?,Germany,False,True
9458,The country of citizenship of Karl Friedrich Schinkel is?,Germany,False,True
9459,The country of citizenship of Karl Lagerfeld is?,Germany,False,True
9460,The native language of Karl Lagerfeld is?,German,False,True
9461,The academic degree of Karl Liebknecht is?,doctorate,False,True
9462,The country of citizenship of Karl Liebknecht is?,Germany,False,True
9463,The country of citizenship of Karl May is?,Germany,False,True
9464,The country of citizenship of Karl Rapp is?,Germany,False,True
9465,The country of citizenship of Karl Schwarzschild is?,Germany,False,True
9466,The country for sport played by Karl Schäfer is?,Austria,False,True
9467,The country of citizenship of Karl Schäfer is?,Austria,False,True
9468,The country of citizenship of Karl Wallenda is?,Germany,False,True
9469,The country of citizenship of Karl von Frisch is?,Austria,False,True
9470,The sport played by Karl-Anthony Towns is?,basketball,False,True
9471,The country of citizenship of Karl-Otto Koch is?,Germany,False,True
9472,The country of citizenship of Karlheinz Stockhausen is?,Germany,False,True
9473,The genre of Karlheinz Stockhausen is?,opera,False,False
9474,The instrument of Karlheinz Stockhausen is?,piano,False,True
9475,The language used in Karlovy Vary Region is?,Czech,False,True
9476,The country of Karlsruhe is?,Germany,False,True
9477,The country of Karlsruhe Institute of Technology is?,Germany,False,True
9478,The country of Karnataka is?,India,False,True
9479,The language used in Karnataka is?,"['Marathi', 'Kannada']",True,
9480,Karnataka is located in?,India,False,True
9481,The official language of Karnataka is?,Kannada,False,True
9482,Karnataka shares a border with?,"['Goa', 'Maharashtra', 'Kerala']",True,
9483,The instrument of Karol Lipiński is?,violin,False,True
9484,The genre of Karol Szymanowski is?,opera,False,False
9485,The country of Karolinska Institute is?,Sweden,False,True
9486,The headquarters location of Karolinska Institute is?,Stockholm,False,True
9487,The language used in Karolinska Institute is?,Swedish,False,True
9488,The country of Karpathos is?,Greece,False,False
9489,The country of citizenship of Karrie Webb is?,Australia,False,True
9490,The eye color of Karrine Steffans is?,brown,False,True
9491,The eye color of Karrueche Tran is?,brown,False,True
9492,The country of citizenship of Karunanithi is?,India,False,True
9493,The religion of Karunanithi is?,Hinduism,False,True
9494,The country of Kashan is?,Iran,False,True
9495,Kashmir is territory claimed by?,"['India', 'Pakistan']",True,
9496,The country of Kashmir Valley is?,India,False,True
9497,The country of Kashmir conflict is?,"['Pakistan', 'India']",True,
9498,The participant of Kashmir conflict is?,"['Pakistan', 'India']",True,
9499,The country of Kashmiri language is?,"['India', 'Pakistan']",True,
9500,The country of Kassel is?,Germany,False,True
9501,The country of citizenship of Kassym-Jomart Tokayev is?,Kazakhstan,False,True
9502,The voice type of Kat DeLuna is?,soprano,False,False
9503,The eye color of Kat Foster is?,brown,False,True
9504,The country for sport played by Katarina Witt is?,Germany,False,True
9505,The country of citizenship of Katarina Witt is?,Germany,False,True
9506,The eye color of Katarina Witt is?,brown,False,False
9507,The eye color of Kate Bosworth is?,blue,False,True
9508,Kate Bush given name?,Catherine,False,True
9509,The instrument of Kate Bush is?,"['guitar', 'piano', 'violin']",True,
9510,The record label of Kate Bush is?,EMI,False,True
9511,The instrument of Kate Higgins is?,piano,False,False
9512,The religion of Kate Hudson is?,Buddhism,False,False
9513,The country of citizenship of Kate Ritchie is?,Australia,False,True
9514,The native language of Kate Spade is?,English,False,True
9515,The eye color of Kate Upton is?,blue,False,True
9516,The country of citizenship of Kate Vernon is?,Canada,False,True
9517,The country of citizenship of Kate del Castillo is?,Mexico,False,True
9518,The instrument of Katelyn Tarver is?,guitar,False,False
9519,The original country of Kathakali is?,India,False,True
9520,The eye color of Katharine McPhee is?,brown,False,False
9521,The country of citizenship of Katherine DeMille is?,Canada,False,True
9522,The eye color of Katherine Heigl is?,brown,False,False
9523,The eye color of Katherine Kelly Lang is?,brown,False,False
9524,The religion of Katherine MacGregor is?,Hinduism,False,False
9525,The eye color of Kathleen Bradley is?,blue,False,False
9526,The country of citizenship of Kathleen Howard is?,Canada,False,False
9527,The eye color of Kathleen Kinmont is?,blue,False,True
9528,Kathmandu is capital of?,Nepal,False,True
9529,The country of Kathmandu is?,Nepal,False,True
9530,The country of Katholieke Universiteit Leuven is?,Belgium,False,True
9531,The eye color of Kathy Ireland is?,blue,False,True
9532,The country of Kati Thanda–Lake Eyre is?,Australia,False,True
9533,The eye color of Katie Featherston is?,blue,False,False
9534,The country of citizenship of Katina Paxinou is?,Greece,False,True
9535,The country of Katowice is?,Poland,False,True
9536,The instrument of Katrina Leskanich is?,guitar,False,True
9537,The country of Katsina State is?,Nigeria,False,True
9538,Katsina State is located in?,Nigeria,False,True
9539,The country of citizenship of Katsu Kaishū is?,Japan,False,True
9540,The country of citizenship of Katsura Tarō is?,Japan,False,True
9541,The country of citizenship of Katsushika Hokusai is?,Japan,False,True
9542,The country of Kattegat is?,Denmark,False,False
9543,The country of citizenship of Katy Jurado is?,Mexico,False,True
9544,The religion of Katy Jurado is?,Catholicism,False,False
9545,The eye color of Katy Mixon is?,brown,False,False
9546,The eye color of Katy Perry is?,blue,False,True
9547,The instrument of Katy Perry is?,"['piano', 'guitar']",True,
9548,Kaunas is capital of?,Lithuania,False,True
9549,The country of Kaunas is?,Lithuania,False,True
9550,Kaunas is located in?,Lithuania,False,True
9551,The country of Kavango–Zambezi Transfrontier Conservation Area is?,"['Zambia', 'Botswana', 'Zimbabwe']",True,
9552,The country of Kaveri River is?,India,False,True
9553,The country of citizenship of Kaya Jones is?,Canada,False,True
9554,The country of Kayseri is?,Turkey,False,True
9555,The country of citizenship of Kaysone Phomvihane is?,Laos,False,True
9556,Kazakh is indigenous to?,Kazakhstan,False,True
9557,The official religion of Kazakh Khanate is?,Islam,False,True
9558,The religion of Kazakh Khanate is?,Islam,False,True
9559,The continent of Kazakhstan is?,Asia,False,True
9560,The emergency phone number of Kazakhstan is?,112,False,True
9561,The language used in Kazakhstan is?,Russian,False,True
9562,The official language of Kazakhstan is?,Russian,False,False
9563,Kazakhstan shares a border with?,"['Russia', 'Kyrgyzstan', 'Turkmenistan']",True,
9564,The country of Kazan is?,Russia,False,True
9565,The country of citizenship of Kazi Nazrul Islam is?,Bangladesh,False,True
9566,The native language of Kazi Nazrul Islam is?,Bengali,False,True
9567,The country of citizenship of Kazimir Malevich is?,Russia,False,True
9568,The native language of Kazimir Malevich is?,Ukrainian,False,False
9569,The blood type of Kazuhiro Sasaki is?,O,False,True
9570,The country for sport played by Kazuhiro Sasaki is?,Japan,False,True
9571,The country of citizenship of Kazuhiro Sasaki is?,Japan,False,True
9572,The sport played by Kazuhiro Sasaki is?,baseball,False,True
9573,The country of citizenship of Kazuo Ishiguro is?,Japan,False,False
9574,The country of citizenship of Kazuo Ohno is?,Japan,False,True
9575,The country of citizenship of Kazuo Taoka is?,Japan,False,True
9576,The country of citizenship of Kazuyo Sejima is?,Japan,False,True
9577,The country of citizenship of Keanu Reeves is?,Canada,False,True
9578,The instrument of Keanu Reeves is?,guitar,False,True
9579,The country of Kebbi State is?,Nigeria,False,True
9580,Kebbi State is located in?,Nigeria,False,True
9581,The country of Kedah is?,Malaysia,False,True
9582,Kedah is located in?,Malaysia,False,True
9583,Kedah shares a border with?,Penang,False,False
9584,The country of Kediri is?,Indonesia,False,True
9585,The country of Keelung is?,Taiwan,False,True
9586,The genre of Keely Smith is?,jazz,False,True
9587,The language of Keeping Up with the Kardashians is?,English,False,True
9588,The eye color of Keesha Sharp is?,brown,False,True
9589,The country of citizenship of Keiichi Tsuchiya is?,Japan,False,True
9590,The country of citizenship of Keiko Abe is?,Japan,False,True
9591,The blood type of Keiko Matsuzaka is?,A,False,False
9592,The country of citizenship of Keiko Matsuzaka is?,Japan,False,True
9593,The country of Keio University is?,Japan,False,True
9594,The country of citizenship of Keio University is?,Japan,False,True
9595,The headquarters location of Keio University is?,Tokyo,False,True
9596,Keio University is located in?,Tokyo,False,True
9597,The country of citizenship of Keir O'Donnell is?,Australia,False,True
9598,The voice type of Keith Andes is?,baritone,False,True
9599,The sport played by Keith Hernandez is?,baseball,False,True
9600,The genre of Keith Jarrett is?,jazz,False,True
9601,The instrument of Keith Jarrett is?,"['saxophone', 'piano']",True,
9602,The instrument of Keith Richards is?,guitar,False,True
9603,The religion of Kel Mitchell is?,Christianity,False,True
9604,The country of Kelantan is?,Malaysia,False,True
9605,Kelantan is located in?,Malaysia,False,True
9606,Kelantan shares a border with?,Thailand,False,True
9607,The eye color of Kelli Garner is?,blue,False,True
9608,The eye color of Kellita Smith is?,black,False,False
9609,The native language of Kelly Marie Tran is?,English,False,False
9610,The eye color of Kelly Monaco is?,brown,False,False
9611,The eye color of Kelly Packard is?,green,False,False
9612,The eye color of Kelly Rohrbach is?,green,False,False
9613,The sport played by Kelvin Herrera is?,baseball,False,True
9614,The native language of Ken Berry is?,English,False,True
9615,The team position of Ken Brett is?,pitcher,False,True
9616,The team position of Ken Forsch is?,pitcher,False,True
9617,The sport played by Ken Griffey Jr. is?,baseball,False,True
9618,"The sport played by Ken Griffey, Sr. is?",baseball,False,True
9619,The country of citizenship of Ken Hitchcock is?,Canada,False,True
9620,The country of citizenship of Ken Kutaragi is?,Japan,False,True
9621,The country of citizenship of Ken Rosewall is?,Australia,False,True
9622,The country of citizenship of Ken Saro-Wiwa is?,Nigeria,False,True
9623,The country of citizenship of Ken Shimizu is?,Japan,False,True
9624,The blood type of Ken Takakura is?,B,False,False
9625,The country of citizenship of Ken Takakura is?,Japan,False,True
9626,The native language of Ken Thompson is?,English,False,True
9627,The country of Kendo is?,Japan,False,False
9628,The original country of Kendo is?,Japan,False,True
9629,The country of citizenship of Kenenisa Bekele is?,Ethiopia,False,True
9630,The sport played by Kenesaw Mountain Landis is?,baseball,False,True
9631,The country of citizenship of Kenji Doihara is?,Japan,False,True
9632,The military rank of Kenji Doihara is?,general,False,True
9633,The country of citizenship of Kenji Mizoguchi is?,Japan,False,True
9634,The native language of Kenji Mizoguchi is?,Japanese,False,True
9635,The country of citizenship of Kenjiro Takayanagi is?,Japan,False,True
9636,Kennedy Space Center is located in?,Florida,False,True
9637,The country of citizenship of Kenneth Kaunda is?,Zambia,False,True
9638,The country of citizenship of Kenneth Slessor is?,Australia,False,True
9639,"The country of citizenship of Kenneth Thomson, 2nd Baron Thomson of Fleet is?",Canada,False,True
9640,The country for sport played by Kenny Dalglish is?,Scotland,False,True
9641,The team position of Kenny Dalglish is?,forward,False,False
9642,The blood type of Kenny G is?,O,False,True
9643,The instrument of Kenny G is?,saxophone,False,True
9644,The instrument of Kenny Loggins is?,"['guitar', 'harmonica']",True,
9645,The instrument of Kenny Rogers is?,"['guitar', 'harmonica']",True,
9646,The native language of Kenny Rogers is?,English,False,True
9647,The sport played by Kenny Rogers is?,baseball,False,True
9648,The historic county of Kensington Palace is?,Middlesex,False,True
9649,Kent shares a border with?,Surrey,False,False
9650,The official language of Kentucky is?,English,False,True
9651,Kentucky shares a border with?,"['Virginia', 'Tennessee', 'Ohio', 'Indiana']",True,
9652,The capital of Kenya is?,Nairobi,False,True
9653,The continent of Kenya is?,Africa,False,True
9654,The emergency phone number of Kenya is?,"['112', '999']",True,
9655,The language used in Kenya is?,"['Somali', 'English']",True,
9656,The official language of Kenya is?,English,False,True
9657,Kenya shares a border with?,"['Uganda', 'Sudan', 'Somalia', 'Tanzania', 'Ethiopia']",True,
9658,The country of citizenship of Kenzaburō Ōe is?,Japan,False,True
9659,The native language of Kenzaburō Ōe is?,Japanese,False,True
9660,The continent of Kerala is?,Asia,False,False
9661,The country of Kerala is?,India,False,True
9662,The language used in Kerala is?,"['Tamil', 'Kannada', 'Malayalam']",True,
9663,Kerala is located in?,India,False,True
9664,The official language of Kerala is?,"['Malayalam', 'English']",True,
9665,Kerala shares a border with?,Karnataka,False,True
9666,The voice type of Keri Hilson is?,soprano,False,True
9667,The country of Kerman is?,Iran,False,True
9668,The country of Kerman Province is?,Iran,False,True
9669,Kerman Province is located in?,Iran,False,True
9670,The country of Kermanshah is?,Iran,False,True
9671,The country of Kermanshah Province is?,Iran,False,True
9672,Kermanshah Province is located in?,Iran,False,True
9673,The sport played by Kermit Washington is?,basketball,False,True
9674,The color of Kermit the Frog is?,green,False,True
9675,The country of citizenship of Kerri-Anne Kennerley is?,Australia,False,True
9676,The country of citizenship of Kerry Packer is?,Australia,False,True
9677,The team position of Kerry Wood is?,pitcher,False,False
9678,The country of citizenship of Kertanegara of Singhasari is?,Indonesia,False,True
9679,The eye color of Keshia Knight Pulliam is?,brown,False,True
9680,The team position of Kevin Appier is?,pitcher,False,True
9681,The sport played by Kevin Durant is?,basketball,False,True
9682,The sport played by Kevin Garnett is?,basketball,False,True
9683,The instrument of Kevin Jonas is?,guitar,False,True
9684,The country for sport played by Kevin Keegan is?,England,False,True
9685,The country of citizenship of Kevin Kuske is?,Germany,False,True
9686,The sport played by Kevin Love is?,basketball,False,True
9687,The sport played by Kevin McHale is?,basketball,False,True
9688,The country of citizenship of Kevin O'Leary is?,Canada,False,True
9689,The instrument of Kevin Richardson is?,piano,False,False
9690,The native language of Kevin Richardson is?,English,False,True
9691,The country of citizenship of Kevin Roche is?,Ireland,False,True
9692,The country of citizenship of Kevin Rudd is?,Australia,False,True
9693,The instrument of Kevin Rudolf is?,guitar,False,True
9694,The native language of Kevin Schon is?,English,False,True
9695,The native language of Kevin Spacey is?,English,False,True
9696,The sport played by Kevin Willis is?,basketball,False,True
9697,The eye color of Keyshia Cole is?,brown,False,True
9698,The continent of Khabarovsk is?,Asia,False,False
9699,The country of Khabarovsk is?,Russia,False,True
9700,The country for sport played by Khabib Nurmagomedov is?,Russia,False,True
9701,The country of citizenship of Khabib Nurmagomedov is?,Russia,False,True
9702,The country of citizenship of Khadija Ismayilova is?,Azerbaijan,False,True
9703,The country of Khajuraho Group of Monuments is?,India,False,True
9704,The academic degree of Khaled Hosseini is?,doctorate,False,False
9705,The religion of Khaled Hosseini is?,Islam,False,True
9706,The religion of Khaleda Zia is?,Islam,False,True
9707,The voice type of Khalid is?,baritone,False,False
9708,The religion of Khalid Abdul Muhammad is?,Islam,False,False
9709,The religion of Khalid Sheikh Mohammed is?,Islam,False,True
9710,The native language of Khalid ibn al-Walid is?,Arabic,False,True
9711,The religion of Khalid ibn al-Walid is?,Islam,False,True
9712,"The languages spoken, written or signed by Khalid of Saudi Arabia is?",Arabic,False,True
9713,The religion of Khalid of Saudi Arabia is?,Islam,False,True
9714,The native language of Khalifa Belqasim Haftar is?,Arabic,False,True
9715,The religion of Khalilah Ali is?,Islam,False,True
9716,The official language of Khanate of Bukhara is?,Persian,False,True
9717,The official religion of Khanate of Kazan is?,Islam,False,True
9718,The official language of Khanate of Khiva is?,Persian,False,False
9719,The religion of Khanate of Khiva is?,Islam,False,True
9720,The language used in Khanate of Kokand is?,Persian,False,False
9721,The official language of Khanate of Kokand is?,Persian,False,False
9722,The official religion of Khanate of Kokand is?,Islam,False,True
9723,The continent of Khanate of Sibir is?,Asia,False,False
9724,The official language of Khanate of Sibir is [MASK]?,Turki,False,False
9725,The religion of Khanate of Sibir is?,Islam,False,True
9726,The country of Khanty-Mansi Autonomous Okrug is?,Russia,False,True
9727,The official language of Khanty-Mansi Autonomous Okrug is?,Russian,False,True
9728,The country of Khao Phing Kan is?,Thailand,False,True
9729,The country of Kharkiv is?,Ukraine,False,True
9730,The country of Kharkiv Oblast is?,Ukraine,False,True
9731,Kharkiv Oblast is located in?,Ukraine,False,True
9732,Khartoum is capital of?,Sudan,False,True
9733,The country of Khartoum is?,Sudan,False,True
9734,Khartoum is located in or next to body of water?,Nile,False,True
9735,The country of Khartoum North is?,Sudan,False,True
9736,The country of citizenship of Khawaja Nazimuddin is?,Pakistan,False,True
9737,The religion of Khawaja Nazimuddin is?,Islam,False,True
9738,The country of Kherson is?,Ukraine,False,True
9739,The country of Kherson Oblast is?,Ukraine,False,True
9740,Kherson Oblast is located in?,Ukraine,False,True
9741,The country of Khlong Saen Saeb is?,Thailand,False,True
9742,The country of Khmelnytskyi is?,Ukraine,False,True
9743,The country of Khmelnytskyi Oblast is?,Ukraine,False,True
9744,Khmelnytskyi Oblast is located in?,Ukraine,False,True
9745,The country of Khmer is?,Cambodia,False,True
9746,Khmer is indigenous to?,Cambodia,False,True
9747,The official language of Khmer Empire is?,Sanskrit,False,False
9748,The official religion of Khmer Empire is?,"['Hinduism', 'Buddhism']",True,
9749,The religion of Khmer Empire is?,Hinduism,False,True
9750,The continent of Khmer Republic is?,Asia,False,False
9751,Khmer Republic shares a border with?,Thailand,False,True
9752,The country of Khomeyni Shahr is?,Iran,False,True
9753,The official language of Khomeyni Shahr is?,Persian,False,True
9754,The country of Khone Phapheng Falls is?,Laos,False,True
9755,The country of Khorasan Province is?,Iran,False,True
9756,Khorasan Province is located in?,Iran,False,True
9757,The official language of Khorasan Province is?,Persian,False,True
9758,The country of Khorramabad is?,Iran,False,True
9759,The sport played by Khris Middleton is?,basketball,False,True
9760,The country of Khulna is?,Bangladesh,False,True
9761,The country of Khulna Division is?,Bangladesh,False,True
9762,Khulna Division is located in?,Bangladesh,False,True
9763,The country of citizenship of Khun Sa is?,Myanmar,False,True
9764,The country of Khuzestan Province is?,Iran,False,True
9765,The religion of Khwarazmian dynasty is?,Islam,False,False
9766,The capital of Khyber Pakhtunkhwa is?,Peshawar,False,True
9767,The country of Khyber Pakhtunkhwa is?,Pakistan,False,True
9768,Khyber Pakhtunkhwa is located in?,Pakistan,False,True
9769,Khyber Pakhtunkhwa shares a border with?,Punjab,False,False
9770,The country of Khyber Pass is?,"['Afghanistan', 'Pakistan']",True,
9771,The country of citizenship of Ki no Tsurayuki is?,Japan,False,True
9772,The native language of Ki-hong Lee is?,Korean,False,True
9773,The country of citizenship of Kia Silverbrook is?,Australia,False,True
